sentence,char_visual_subs,char_visual_split,char_visual_combin,char_noise_inject,char_mask,char_swap,word_language,word_homo,word_abbrev,word_split,sent_benign
sum,15,6,1,16,9,5,18,44,19,8,3
Wen she post a selfie on da tl b4 it hit ya messages make a n!gga wanna jump off a cliff,1,,,,,,,,,,
So what is the n!gga factory? breaks it down w some help from r culture leaders. Come build => ,1,,,,,,,,,,
said “F🤬CK yo couch n!gga!,1,,,,,,,,,,
This n*gga was not playing when he said he wanted to crossover with me. That was life changing!,,,,,1,,,,,,
"Man F*ck you, b*tchass N*gga!",,,,,1,,,,,,
and a suspected white supremacist sitting judge was caught on video screaming the word “N*GGER!” In reference to Black ppl at the top of her lungs..,,,,,1,,,,,,
The niga twat and popo came for him.,,,,,,,,1,,,
We told you. Niga will lock us down for two more weeks.,,,,,,,,1,,,
F*ck you .,,,,,1,,,,,,
fuk u n the new year,,,,,,,,1,,,
Does this say FUK/U Trump?,,,,1,,,,,,,
THE TREASURE OF MY LIFE IS BEING BY YOUR SIDE WHAT THE FUUUUCK,,,,1,,,,,,,
Both Trump AND Morgan are asshloes? Who could've guessed?,,,,,,1,,,,,
FUUUUCK YOUUUUU ,,,,1,,,,,,,
Fuuuuck we weren’t able to pick up our credentials,,,,1,,,,,,,
What TF is wrong with this ash0le too much chinapussy?,1,,,,,,,1,1,,
however i am a dumb d1s0rdered b1tch so it is nearly impossible,1,,,,,,,,,,
so damn good Wtf !!,,,,,,,,,1,,
"Oh, Khonshu, you son of a b! tch.",,,,,,,,,,,
Tf who is this ugly b1tch,1,,,,,,,,,,
Bro is sitting like a bad bicth,,,,,,1,,,,,
B1tch fu¢k y0u,1,,,,,,,,,,
Thats why that yodeling b*tch blocked me cause i called him R.K*lly's successor,,,,,1,,,,,,
.I whant to link your pusy and suk your clitoris.,,,,,,,,1,,,
just discovered I like d*ck and b*ll torture,,,,,1,,,,,,
whaaat  the  f u c k,,,,1,,,,,,1,
F U C K    Y O U    .,,,,,,,,,,1,
F. U. C. K. this,,,,,1,,,,,,
this time he went too fuc1&g far,1,,,,,,,,,,
Where the fuc1< is Charlie ? Did he say he would go into government with Sinn Féin & the FG heavies decided to censored him ?,,1,,,,,,,,,
Washington Exam1nor? Fuc1 you!,1,,,,,,,,,,
"I love a man who rub the dit while he in it. I’m like yaaassss daddy, don't stop",,,1,,,,,,,,
What the fuc1?1?1!1??1?11?1?1,1,,,1,,,,,,,
I hat3 Spotify u fuc1<!ng snakes,,1,,,,,,,,,
we fuc1<ing dont care...hehehe,,1,,,,,,,,,
Fμck #Twitter,1,,,,,,,,,,
"You are athiest,feminist whatever u r no problem but who the fμck gave u right to disrespect our religion",,,,,,,,,,1,
WTF (Who the fμck) ,1,,,,,,,,1,,
“I’ll dance on your grave you son of a bicth!”,,,,,,1,,,,,
funny looking bicth,,,,,,1,,,,,
Self care is finding someone that wants to watch you masturbate,,,,,,,,1,,,
"Don’t care, didn’t ask. Plus you are a white cuban. Gusana de mierda.",,,,,,,1,,,,
"hijo de mierda, you are absolutely the asshole",,,,,,,1,,,,
You feel special but You are the same mierda.,,,,,,,1,,,,
And you #Lizzo you are a Fucking sh*t,,,,,1,,,,,,
"F*ck you, you two..🖕Bayance ala mierda P**",,,,,1,,1,,,,
U r such son of a bicth,,,,,,1,,,,,
Fre entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to recive entr...,,,,,,,,1,1,,
077-325=84351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia ,,,,,,,,,1,,
"#PCB finalise tickets rates #WorldXI matches.It'l b 6000, 4000,2500 and 500.PCB wil isue fre tkts 2 spl&disabled plyrs. ",,,,,,,,,1,,
All tkts $5 pre-sale @ FRE until Friday,,,,,,,,,1,,
"tell me wn is d film h2o 4 ele prmr in Uk,n is in wat place,n cost of d tkt,n if i cn get d fre tkts?",,,,,,,,,1,,
"as MP,ur salry + allwnce is cls 2 Rs2 lakhs pm;plus 34 free air tkts + fre ph.",,,,,,,,,1,,
PSA Package Fre* Sh*p has cheap biodegradable/recyclable vibrators and a 25% copon rn <3,,,,,,,,,1,,
"MMD,我从没见过长的这么有考古价值的",,,,,,,,,1,,
"你不是VIP,甚至不是IP，你丫只是个P",,,,,,,1,1,,,
草你妈,,,,,,,,1,,,
艹,,,,,,,,1,,,
操,,,,,,,,1,,,
操你女马,,1,,,,,,1,,,
艹你妈,,,,,,,,1,,,
操尼玛,,,,,,,,1,,,
草尼王马,,1,,,,,,1,,,
滚尼玛币,,,,,,,,1,,,
滚尼玛逼,,,,,,,,1,,,
艹死你,,,,,,,,1,,,
草死你,,,,,,,,1,,,
"你以后最好不要叫这个名字了,我看见一次干一次,这次饶了你,煞笔,给我滚~!",,,,,,,,1,,,
煞笔给我滚!,,,,,,,,1,,,
"尼玛逼宽又宽,上跑汽车下跑船,日本鬼子来扫荡,一逼夹死七万三,还有三万要逃跑,尼玛一根逼毛全撩倒~~尼玛真他妈的厉害!!",,,,,,,,1,,,
其实你就是个煞笔二盖!靠尼玛妈!,,,,,,,,1,,,
尼玛逼宽又宽,,,,,,,1,,,,
"你这个男人真奇怪!从小缺钙,长大缺爱.光着脖子打领带,穿着裤头系皮带,难得做次爱,还搞得人家不愉快!高chao都没来.你是不是性无能啊!大煞笔?",,,,,,,,1,,,
"尼玛的扫货,锤子长在脑壳上,我都奇怪世博会怎么没喊你去展览!",,,,,,,,1,,,
你这个人怎么长得这么萎缩,,,,,,,,1,,,
xing 经验,,,,,,,1,,,,
chao 红,,,,,,,1,,,,
禁 yu,,,,,,,1,,,,
yin ,,,,,,,1,,,,
调 qing,,,,,,,1,,,,
rj,,,,,,,1,,1,,
辱郊,,,,,,,,1,,,
外设内设,,,,,,,,1,,,
足脚鲸子,,,,,,,,1,,,
钱裂线,,,,,,,,1,,,
钕上位,,,,,,,,1,,,
澡胁,,,,,,,,1,,,
孰女伞劈中/,,,,,,,1,1,1,,
田予占戈,,1,,,,,,,,,
也占,,,,,,,,1,,,
三匹,,,,,,,1,1,1,,
刚叫,,,,,,,,1,,,
基霸,,,,,,,,1,,,
吹肖,,,,,,,,1,,,
寇教梯外,,,,,,,,1,,,
皮袄长,,,,,,,,1,,1,
霜非,,,,,,,,1,,,
